ĝenerala 关于全体的，全面的，总的，普遍，一般的
ĝeni 打扰，妨碍
ĝentila 彬彬有礼
ĝis 到…为止
ĝoji 高兴
ĝui 享受，享乐；享有
ĝusta 正确；恰当
ha 叹词，啊、哈
halti 停止
haro 毛，发
haŭto 皮，皮肤
haveno 港口
havi 有
hejmo 家
hela 明亮，晴朗；浅，淡
helpi 帮助
herbo 草
hieraŭ 昨天
historio 历史；故事
ho 啊！呀！（表惊讶，恐怖，愤怒，悲痛）
hodiaŭ 今天
homo 人
horloĝo 钟，表，计时器
horo 小时；时刻，时间
hotelo 旅馆，饭店
hundo 狗
i [词尾]动词不定式
ia 某种的，某类的
iam 某时，任何时候；曾经
id 后代；幼者
idealo 理想，崇高目标
ideo 观念，主意，理想
ie 某处，在某处
iel 用某种方法
ig 使之…
iĝ 变成…
il 工具
ili 他（她、它）们
imagi 想象，设想
imiti 摹仿，仿效，仿制
in 表示女性、雌性
ind 表示值得的，值得
industrio 工业，产业
infano 幼儿，儿童；孩子
informi 通知，告诉，报告
insekto 昆虫
insigno 徽章
instrui 教，教导
insulo 岛
int 主动过去分词（完成体）
inteligenta 理解力强，聪明
intenci 想，打算，企图
inter 在…之间
interesi 使发生兴趣
interna 内部，内在
inviti 邀请
io 某物，某事
iri 去，走
is [词尾]直陈式过去时
ism 主义，学说
ist …者，…家，主义者
it 被动过去分词（完成体）
j [词尾]复数
ja 确实；诚然
jam 已经
januaro 一月
jaro 年
je 通用介词
jen （用以引起注意）[jen…jen…]一会儿…，一会儿…
jes 是，对
juĝi 审判；判断，评价
julio 七月
juna 年轻
junio 六月
jupo 裙
justa 公正，公平，正直
ĵaŭdo 星期四
ĵeti 扔，抛，喷
ĵus 刚才，刚刚
kadro 边框，环境，范围；干部
kafo 咖啡
kaj 和
kajero 笔记本，练习本
kalendaro 历法；日历，月历，月份牌
kalkuli 数数，计算；算作
kampo 田地
kanti 唱
kapabla 有能力的，能够…的
kapo 头
kapti 捉，抓住
kara 亲爱的，珍贵，昂贵
karbo 煤，炭，木炭
karto 卡片；证件；纸牌
kasedo 卡式磁带，录音带
kaŝi 藏
kato 猫
kaŭzo 原因
kazo 格；案情，案件；病例
ke [连]（引起从句）
kelka 一些；[~aj]几个（人），不很多
kia 什么样的
kial 为什么
kiam 什么时候；[连]当…时候
kie 在什么地方
kiel 怎样；如同；作为
kies 谁的
kilogramo 千克
kilometro 千米
kio 什么
kiom 多少
kisi 吻
kiu 谁；哪一个
klara 清楚；明亮，清澈
klaso 阶级；班级；等级
klini 使倾斜，使弯曲，俯身
klopodi 尽力，忙碌；奔走，奔忙
klubo 俱乐部，联谊会
knabo 男孩
kolekti 召集，收集
koleri 发怒
kolo 颈，脖子
koloro 颜色
kombi 梳，梳头
komenci 开始
komerci 经商，做买卖
komforta 舒服，安逸
komisii 委托，委任；托付
komitato 委员会
kompari 比较，对比
kompati 怜悯，同情
kompreni 理解
komputi 计算，估计，以仪表计量
komuna 公共，共同
komuniki 告知，传染
koncerni 涉及，关系到
kondiĉo （必要的）条件；条款
konduki 带领，引领
konfesi 公开表明；直言不讳；承认错误；忏悔
kongreso （代表）大会
koni 知道，认识
konkreta 具体的
konsenti 同意
konservi 保存，保持
konsideri 考虑；把…看作…
konsili 劝告（应做某事）
konsisti 由…组成，包含
konstanta 恒定，不变，坚贞
konstrui 建筑；构成
kontakto 接触，往来，联系，接触
kontenta 满意，满足
kontraŭ 对着，向着
kontroli 检查，检验，核对
konveni 合适，适宜
konvinki 说服，使信服
kopii 抄写，复写，复印
korbo 篮，筐，篓
korespondi 通信
koro 心
korpo 身体，体
korto 庭院
kosti 值
kostumo 服装；服装样式
koverto 信封
kovri 盖
krajono 铅笔
kredi 相信
krei 创造，开创
kreski 生长
krii 喊
krom 除了
kruela 残忍，残暴；惨痛，悲惨
kruro 小腿；腿
kudri 缝
kuiri 煮，烧，烹调
kuko 糕点
kulero 汤匙
kulpa 有罪的，犯罪的
kulturi 耕种，栽培；培养
kun 和…一起
kupono 息票；联单
kuraci 治疗
kuraĝa 勇敢
kuri 跑
kurso 课程，讲习班；航线
kuŝi 躺
kutimi 习惯于
kuzo 堂（表）兄弟
kvadrato 正方形；平方
kvalito 特质，性质，质量，资质
kvankam 虽然，尽管
kvanto 量，数量
kvar 四
kvazaŭ 好象，仿佛
kvin 五
la [定冠词]
labori 工作，劳动
laca 疲劳，累；厌倦
